Número;Cliente (Completo);Serviço (2º Nível);Status;Esforço estimado;Tempo trabalhado;Andamento;Data da última ação;Tipo de faturamento;Responsável;Account Manager ;Aberto em;Resolvido em;Vencimento em;Assunto;Serviço (3º Nível)
11664;SOU.cloud;Data e Power;Em atendimento;;14:36:00;;20/06/2025;;Vitória Germann;;29/04/2025;;30/06/2025;Projeto interno de BI - Gerencial;Demandas Internas
11688;SOU.cloud;M365;Em atendimento;;33:55:00;;20/06/2025;;Helen Machado;;30/04/2025;;30/06/2025;Reestruturação do Sharepoint;Desenvolvimento e implementação de projeto Sharepoint
11813;COMERCIAL ZAFFARI (GAUCHINHO);M365;Aguardando;65;38:11:00;5%;12/06/2025;Descontar do PLUS no inicio do projeto;Helen Machado;Eder Rodrigues;07/05/2025;;03/07/2025;ZAFFARI , PROJETO TEMPLATE DE SHAREPOINT;Desenvolvimento e implementação de projeto INTRANET
12026;C.BRAZIEL DESIGN;Data e Power;Fechado;5;05:00:00;;23/05/2025;Faturar no inicio do projeto;CDB Data Solutions;Cleber Bastos;20/05/2025;23/05/2025;;CBRAZIEL, Ajustes do novo ambiente;Consultoria técnica
12062;Bastos Juntas Industria de Autopecas;Data e Power;Em atendimento;12;10:00:00;;16/06/2025;Faturar no inicio do projeto;CDB Data Solutions;Gustavo Moyses;22/05/2025;;;BASTOS /  ANALISE DE BANCO SQL  PAAS;Desenvolvimento e implementação de projeto Data
12568;PORTOTECH;Azure;Em atendimento;60;00:01:00;;20/06/2025;Faturar no inicio do projeto;CDB Data Solutions;Gustavo Moyses;17/06/2025;;;PORTOTECH / FABRIC F2 + PORTAL;
11700;C.BRAZIEL DESIGN;Azure;Fechado;15;15:00:00;;30/05/2025;Faturar no final do projeto;CDB Data Solutions;Cleber Bastos;30/04/2025;30/05/2025;;CBRAZIEL, DBA;Desenvolvimento e implementação de projeto de Migração de Banco de Dados
12193;HEAD5 ENGENHARIA;Data e Power;Fechado;72;02:00:00;;30/05/2025;Descontar do PLUS no inicio do projeto;CDB Data Solutions;Eder Rodrigues;29/05/2025;30/05/2025;;HEAD 5 ENGENHARIA , ANÁLISE DE AMBIENTE PWA;Consultoria técnica
11408;FORSHIP ENGENHARIA;M365;Fechado;10;15:57:00;5%;27/05/2025;Engajamento;Matheus Pacheco;Thiago Alcantara;14/04/2025;27/05/2025;28/05/2025;Forship - Assessment for Rapid Migration;Assessment de Segurança
11662;AUTO PARVI LTDA;Azure;Aguardando;10;01:20:00;;11/06/2025;Engajamento;Matheus Pacheco;Thiago Alcantara;29/04/2025;;26/06/2025;PARVI - ASSESSMENT FOR RAPID MIGRATION;Migracao Workload On Premises para Azure
12473;COMERCIAL ZAFFARI (GAUCHINHO);Azure;Em atendimento;28;00:01:00;5%;12/06/2025;Descontar do PLUS no inicio do projeto;Erick Alex;Eder Rodrigues;12/06/2025;;30/06/2025;COMERCIAL ZAFFARI  - Copia de dados DEV ? PROD;Storage
12479;SOU.cloud;Data e Power;Em atendimento;;06:11:00;;20/06/2025;;Bernardo Mesko;;12/06/2025;;24/06/2025;PMO Control.360 SOU;
